Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Assam, 31-03-2021, M, 0.68, 1631388.00, 38.89
Assam, 30-04-2021, M, 1.23, 1569920.00, 37.56
Assam, 31-05-2021, M, 0.46, 1726664.00, 40.90
Assam, 30-06-2021, M, 3.75, 1639872.00, 40.09
Assam, 31-07-2021, M, 5.77, 1691892.00, 42.16
Assam, 31-08-2021, M, 3.91, 1599114.00, 39.00
Assam, 30-09-2021, M, 6.63, 1585167.00, 39.70
Assam, 31-10-2021, M, 6.59, 1664451.00, 41.58
Assam, 30-11-2021, M, 2.94, 1714004.00, 41.13
Assam, 31-12-2021, M, 7.47, 1560241.00, 39.19
Assam, 31-01-2022, M, 10.68, 1542930.00, 40.07
Assam, 28-02-2022, M, 8.55, 1606342.00, 40.66
Assam, 31-03-2022, M, 3.76, 1683929.00, 40.42
Assam, 30-04-2022, M, 7.98, 1503107.00, 37.66
Assam, 31-05-2022, M, 8.91, 1486657.00, 37.55
Assam, 30-06-2022, M, 8.29, 1526399.00, 38.21
Assam, 31-07-2022, M, 4.92, 1699081.00, 40.94
Assam, 30-09-2022, M, 2.96, 1550344.00, 36.45
Assam, 31-10-2022, M, 10.39, 1632371.00, 41.48
Assam, 30-11-2022, M, 9.50, 1670485.00, 41.94
Assam, 31-12-2022, M, 27.38, 1653951.00, 51.64
Assam, 31-01-2023, M, 8.07, 1709014.00, 42.06
Assam, 28-02-2023, M, 13.32, 1760100.00, 45.85
Bihar, 31-01-2016, M, 8.97, 3317405.00, 41.71
Bihar, 29-02-2016, M, 20.46, 3573153.00, 51.31
Bihar, 31-03-2016, M, 10.99, 3382778.00, 43.31
Bihar, 30-04-2016, M, 13.05, 3205834.00, 41.93
Bihar, 31-05-2016, M, 21.60, 3308141.00, 47.89
Bihar, 30-06-2016, M, 23.61, 3547971.00, 52.60
Bihar, 31-07-2016, M, 19.83, 3385175.00, 47.72
Bihar, 31-08-2016, M, 17.30, 3272056.00, 44.62
Bihar, 30-09-2016, M, 20.12, 3102351.00, 43.71
Bihar, 31-10-2016, M, 10.59, 3298034.00, 41.43
Bihar, 30-11-2016, M, 10.97, 3254790.00, 40.97
Bihar, 31-12-2016, M, 6.18, 3276336.00, 39.05
