Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Himachal Pradesh, 30-04-2021, M, 15.32, 210318.00, 39.49
Himachal Pradesh, 31-05-2021, M, 15.74, 199710.00, 37.63
Himachal Pradesh, 30-06-2021, M, 14.18, 201483.00, 37.22
Himachal Pradesh, 31-07-2021, M, 17.86, 218695.00, 42.15
Himachal Pradesh, 31-08-2021, M, 1.27, 228417.00, 36.57
Himachal Pradesh, 30-09-2021, M, 14.12, 217827.00, 40.05
Himachal Pradesh, 31-10-2021, M, 8.33, 174440.00, 30.00
Himachal Pradesh, 30-11-2021, M, 17.69, 197580.00, 37.79
Himachal Pradesh, 31-12-2021, M, 9.52, 194314.00, 33.76
Himachal Pradesh, 31-01-2022, M, 8.18, 184887.00, 31.61
Himachal Pradesh, 28-02-2022, M, 5.56, 174336.00, 28.94
Himachal Pradesh, 31-03-2022, M, 15.15, 165610.00, 30.56
Himachal Pradesh, 30-04-2022, M, 2.33, 176751.00, 28.29
Himachal Pradesh, 31-05-2022, M, 7.96, 198278.00, 33.63
Himachal Pradesh, 30-06-2022, M, 10.11, 207768.00, 36.03
Himachal Pradesh, 31-07-2022, M, 11.11, 207228.00, 36.29
Himachal Pradesh, 31-08-2022, M, 14.47, 280648.00, 51.01
Himachal Pradesh, 30-09-2022, M, 7.50, 243229.00, 40.82
Himachal Pradesh, 31-10-2022, M, 10.81, 198356.00, 34.47
Himachal Pradesh, 30-11-2022, M, 18.12, 200562.00, 37.91
Himachal Pradesh, 31-12-2022, M, 17.91, 226652.00, 42.68
Himachal Pradesh, 31-01-2023, M, 8.22, 227878.00, 38.32
Himachal Pradesh, 28-02-2023, M, 16.81, 215491.00, 39.93
Jammu & Kashmir, 31-01-2016, M, 14.37, 921006.00, 37.53
Jammu & Kashmir, 29-02-2016, M, 16.26, 898201.00, 37.34
Jammu & Kashmir, 31-03-2016, M, 18.93, 980373.00, 42.00
Jammu & Kashmir, 30-04-2016, M, 20.84, 1100262.00, 48.17
Jammu & Kashmir, 31-05-2016, M, 20.35, 964061.00, 41.85
Jammu & Kashmir, 30-06-2016, M, 21.05, 874612.00, 38.22
Jammu & Kashmir, 31-07-2016, M, 21.30, 890152.00, 38.93
Jammu & Kashmir, 31-08-2016, M, 21.64, 1108979.00, 48.60
Jammu & Kashmir, 30-09-2016, M, 21.85, 992513.00, 43.51
Jammu & Kashmir, 31-10-2016, M, 28.22, 662094.00, 31.53
Jammu & Kashmir, 30-11-2016, M, 18.35, 1023423.00, 42.75
Jammu & Kashmir, 31-12-2016, M, 17.37, 1142352.00, 47.04
Jammu & Kashmir, 31-01-2017, M, 12.99, 985272.00, 38.44
Jammu & Kashmir, 28-02-2017, M, 15.53, 884147.00, 35.46
Jammu & Kashmir, 31-03-2017, M, 4.49, 1136374.00, 40.21
Jammu & Kashmir, 30-04-2017, M, 10.27, 1094442.00, 41.13
Jammu & Kashmir, 31-05-2017, M, 10.98, 876827.00, 33.13
Jammu & Kashmir, 30-06-2017, M, 17.63, 1136118.00, 46.29
Jammu & Kashmir, 31-07-2017, M, 6.96, 847637.00, 30.50
Jammu & Kashmir, 31-08-2017, M, 9.92, 1038497.00, 38.51
Jammu & Kashmir, 30-09-2017, M, 10.66, 1157273.00, 43.17
Jammu & Kashmir, 31-10-2017, M, 16.42, 1141011.00, 45.39
Jammu & Kashmir, 30-11-2017, M, 13.10, 1099461.00, 41.98
Jammu & Kashmir, 31-12-2017, M, 16.91, 1037355.00, 41.32
Jammu & Kashmir, 31-01-2018, M, 15.90, 1148068.00, 45.08
Jammu & Kashmir, 28-02-2018, M, 13.60, 1163487.00, 44.37
Jammu & Kashmir, 31-03-2018, M, 13.19, 1115727.00, 42.25
Jammu & Kashmir, 30-04-2018, M, 12.22, 1008295.00, 37.67
Jammu & Kashmir, 31-05-2018, M, 13.22, 1125689.00, 42.45
Jammu & Kashmir, 30-06-2018, M, 16.50, 1115466.00, 43.61
Jammu & Kashmir, 31-07-2018, M, 13.43, 1111453.00, 41.82
Jammu & Kashmir, 31-08-2018, M, 10.47, 1003571.00, 36.42
Jammu & Kashmir, 30-09-2018, M, 13.62, 1172535.00, 44.01
Jammu & Kashmir, 31-10-2018, M, 17.65, 1107031.00, 43.48
Jammu & Kashmir, 30-11-2018, M, 12.34, 1120144.00, 41.23
Jammu & Kashmir, 31-12-2018, M, 11.34, 971968.00, 35.29
Jammu & Kashmir, 31-01-2019, M, 22.01, 1142674.00, 47.06
Jammu & Kashmir, 28-02-2019, M, 19.03, 1116415.00, 44.19
Jammu & Kashmir, 31-03-2019, M, 18.23, 1129049.00, 44.15
Jammu & Kashmir, 30-04-2019, M, 15.28, 1066003.00, 40.14
Jammu & Kashmir, 31-05-2019, M, 23.04, 1130139.00, 46.74
Jammu & Kashmir, 30-06-2019, M, 19.88, 1139814.00, 45.17
Jammu & Kashmir, 31-07-2019, M, 21.55, 1183770.00, 47.80
Jammu & Kashmir, 30-09-2019, M, 19.23, 1120679.00, 43.75
Jammu & Kashmir, 31-10-2019, M, 24.06, 1029087.00, 42.63
Jammu & Kashmir, 30-11-2019, M, 14.29, 1226793.00, 44.92
Jammu & Kashmir, 31-12-2019, M, 7.02, 1209085.00, 40.71
Jammu & Kashmir, 31-01-2020, M, 18.54, 1079537.00, 41.40
Jammu & Kashmir, 29-02-2020, M, 19.86, 1060116.00, 41.23
Jammu & Kashmir, 31-03-2020, M, 14.29, 998103.00, 36.21
Jammu & Kashmir, 31-05-2020, M, 12.96, 937435.00, 33.33
Jammu & Kashmir, 31-07-2020, M, 7.89, 1103109.00, 36.89
Jammu & Kashmir, 31-08-2020, M, 13.84, 1031944.00, 36.81
Jammu & Kashmir, 30-09-2020, M, 14.93, 934200.00, 33.67
Jammu & Kashmir, 31-10-2020, M, 9.43, 1002715.00, 33.87
Jammu & Kashmir, 30-11-2020, M, 12.88, 1043857.00, 36.57
Jammu & Kashmir, 31-12-2020, M, 24.80, 801755.00, 32.46
Jammu & Kashmir, 31-01-2021, M, 25.00, 1058284.00, 42.86
Jammu & Kashmir, 28-02-2021, M, 15.69, 1058803.00, 38.06
Jammu & Kashmir, 31-03-2021, M, 10.00, 896583.00, 30.12
Jammu & Kashmir, 30-04-2021, M, 14.17, 877759.00, 30.85
Jammu & Kashmir, 31-05-2021, M, 17.39, 1127427.00, 41.07
Jammu & Kashmir, 30-06-2021, M, 18.23, 1009474.00, 37.07
Jammu & Kashmir, 31-07-2021, M, 16.26, 1088207.00, 38.92
Jammu & Kashmir, 31-08-2021, M, 18.83, 864414.00, 31.82
Jammu & Kashmir, 30-09-2021, M, 21.69, 1020418.00, 38.85
Jammu & Kashmir, 31-10-2021, M, 22.76, 1064734.00, 41.00
Jammu & Kashmir, 30-11-2021, M, 17.86, 1148330.00, 41.48
Jammu & Kashmir, 31-12-2021, M, 24.84, 873009.00, 34.38
Jammu & Kashmir, 31-01-2022, M, 13.04, 1092339.00, 37.10
Jammu & Kashmir, 28-02-2022, M, 19.44, 1054433.00, 38.57
Jammu & Kashmir, 31-03-2022, M, 31.17, 1092669.00, 46.67
Jammu & Kashmir, 30-04-2022, M, 22.41, 897406.00, 33.92
Jammu & Kashmir, 31-05-2022, M, 21.40, 1013656.00, 37.73
Jammu & Kashmir, 30-06-2022, M, 21.53, 1099443.00, 40.90
Jammu & Kashmir, 31-07-2022, M, 18.90, 977055.00, 35.08
Jammu & Kashmir, 31-08-2022, M, 26.07, 901810.00, 35.44
Jammu & Kashmir, 30-09-2022, M, 24.56, 924343.00, 35.51
Jammu & Kashmir, 31-10-2022, M, 25.66, 1058324.00, 41.17
Jammu & Kashmir, 30-11-2022, M, 21.30, 1076218.00, 39.45
Jammu & Kashmir, 31-12-2022, M, 20.13, 947208.00, 34.13
Jammu & Kashmir, 31-01-2023, M, 21.39, 1040345.00, 38.00
Jammu & Kashmir, 28-02-2023, M, 23.91, 1053243.00, 39.66
Jharkhand, 31-01-2016, M, 13.15, 2305618.00, 42.69
Jharkhand, 29-02-2016, M, 14.83, 2328845.00, 43.89
Jharkhand, 31-03-2016, M, 15.31, 2336454.00, 44.20
Jharkhand, 30-04-2016, M, 15.51, 2389270.00, 45.22
Jharkhand, 31-05-2016, M, 11.78, 2354735.00, 42.60
Jharkhand, 30-06-2016, M, 21.38, 2328301.00, 47.17
Jharkhand, 31-07-2016, M, 17.30, 2267750.00, 43.59
Jharkhand, 31-08-2016, M, 14.97, 2333438.00, 43.54
Jharkhand, 30-09-2016, M, 11.95, 2522837.00, 45.37
Jharkhand, 31-10-2016, M, 4.86, 2449454.00, 40.69
Jharkhand, 30-11-2016, M, 11.73, 2401198.00, 42.92
Jharkhand, 31-12-2016, M, 5.44, 2327091.00, 38.75
Jharkhand, 31-01-2017, M, 4.04, 2460488.00, 40.29
Jharkhand, 28-02-2017, M, 4.82, 2328554.00, 38.38
Jharkhand, 31-03-2017, M, 6.35, 2366459.00, 39.56
Jharkhand, 30-04-2017, M, 5.37, 2335814.00, 38.57
Jharkhand, 31-05-2017, M, 4.26, 2443181.00, 39.80
Jharkhand, 30-06-2017, M, 6.34, 2373263.00, 39.45
Jharkhand, 31-07-2017, M, 4.56, 2340664.00, 38.10
Jharkhand, 31-08-2017, M, 9.24, 2338726.00, 39.95
Jharkhand, 30-09-2017, M, 9.39, 2484256.00, 42.43
Jharkhand, 31-10-2017, M, 10.83, 2408189.00, 41.71
Jharkhand, 30-11-2017, M, 10.80, 2354364.00, 40.69
Jharkhand, 31-12-2017, M, 14.36, 2364630.00, 42.48
Jharkhand, 31-01-2018, M, 11.14, 2362278.00, 40.82
Jharkhand, 28-02-2018, M, 9.74, 2485031.00, 42.20
Jharkhand, 31-03-2018, M, 12.44, 2304608.00, 40.27
Jharkhand, 30-04-2018, M, 15.72, 2348911.00, 42.56
Jharkhand, 31-05-2018, M, 15.15, 2404836.00, 43.19
Jharkhand, 30-06-2018, M, 8.13, 2409684.00, 39.90
Jharkhand, 31-07-2018, M, 14.57, 2356203.00, 41.87
Jharkhand, 31-08-2018, M, 14.12, 2362145.00, 41.67
Jharkhand, 30-09-2018, M, 15.51, 2393589.00, 42.84
Jharkhand, 31-10-2018, M, 9.19, 2467125.00, 41.01
Jharkhand, 30-11-2018, M, 15.57, 2324988.00, 41.48
Jharkhand, 31-12-2018, M, 16.46, 2348146.00, 42.26
Jharkhand, 31-01-2019, M, 16.41, 2436142.00, 43.73
Jharkhand, 28-02-2019, M, 10.90, 2509667.00, 42.19
Jharkhand, 31-03-2019, M, 18.27, 2309071.00, 42.24
Jharkhand, 30-04-2019, M, 16.59, 2350636.00, 42.05
Jharkhand, 31-05-2019, M, 17.23, 2404034.00, 43.25
Jharkhand, 30-06-2019, M, 20.51, 2326912.00, 43.51
Jharkhand, 31-07-2019, M, 15.67, 2434580.00, 42.82
Jharkhand, 31-08-2019, M, 20.25, 2335407.00, 43.35
Jharkhand, 30-09-2019, M, 21.10, 2357296.00, 44.15
Jharkhand, 31-10-2019, M, 19.05, 2460197.00, 44.82
Jharkhand, 30-11-2019, M, 17.34, 2424283.00, 43.17
Jharkhand, 31-12-2019, M, 22.01, 2290170.00, 43.14
Jharkhand, 31-01-2020, M, 22.96, 2329293.00, 44.33
Jharkhand, 29-02-2020, M, 19.67, 2493023.00, 45.42
Jharkhand, 31-03-2020, M, 16.40, 2480661.00, 43.34
Jharkhand, 30-04-2020, M, 61.48, 1054829.00, 39.92
Jharkhand, 31-05-2020, M, 70.17, 830347.00, 40.49
Jharkhand, 30-06-2020, M, 19.25, 2247608.00, 40.42
Jharkhand, 31-07-2020, M, 5.64, 2614441.00, 40.16
Jharkhand, 31-08-2020, M, 19.11, 2238173.00, 40.02
Jharkhand, 30-09-2020, M, 13.84, 2340012.00, 39.21
Jharkhand, 31-10-2020, M, 13.41, 2302392.00, 38.31
Jharkhand, 30-11-2020, M, 13.46, 2373300.00, 39.44
Jharkhand, 31-12-2020, M, 19.67, 2293273.00, 40.97
Jharkhand, 31-01-2021, M, 19.22, 2371666.00, 42.05
Jharkhand, 28-02-2021, M, 16.57, 2276550.00, 39.01
Jharkhand, 31-03-2021, M, 12.70, 2428331.00, 39.69
Jharkhand, 30-04-2021, M, 23.25, 2264236.00, 42.01
Jharkhand, 31-05-2021, M, 26.91, 2131480.00, 41.45
Jharkhand, 30-06-2021, M, 21.92, 2268457.00, 41.22
Jharkhand, 31-07-2021, M, 12.18, 2518844.00, 40.61
Jharkhand, 31-08-2021, M, 18.56, 2374302.00, 41.20
Jharkhand, 30-09-2021, M, 17.96, 2367387.00, 40.70
Jharkhand, 31-10-2021, M, 17.68, 2265825.00, 38.74
Jharkhand, 30-11-2021, M, 12.56, 2513931.00, 40.39
Jharkhand, 31-12-2021, M, 17.97, 2410869.00, 41.21
Jharkhand, 31-01-2022, M, 19.90, 2387218.00, 41.70
Jharkhand, 28-02-2022, M, 18.70, 2310191.00, 39.69
Jharkhand, 31-03-2022, M, 15.78, 2502181.00, 41.42
Jharkhand, 30-04-2022, M, 18.00, 2441531.00, 41.43
Jharkhand, 31-05-2022, M, 20.51, 2434617.00, 42.53
Jharkhand, 30-06-2022, M, 16.55, 2312638.00, 38.41
Jharkhand, 31-07-2022, M, 18.22, 2462029.00, 41.64
Jharkhand, 31-08-2022, M, 19.41, 2383856.00, 40.83
Jharkhand, 30-09-2022, M, 18.63, 2443087.00, 41.37
Jharkhand, 31-10-2022, M, 21.97, 2313847.00, 40.78
Jharkhand, 30-11-2022, M, 17.30, 2542236.00, 42.19
Jharkhand, 31-12-2022, M, 19.20, 2427476.00, 41.15
Jharkhand, 31-01-2023, M, 18.80, 2362032.00, 39.77
Jharkhand, 28-02-2023, M, 22.61, 2286859.00, 40.32
Karnataka, 31-01-2016, M, 9.58, 8504030.00, 45.78
Karnataka, 29-02-2016, M, 6.02, 8064132.00, 41.66
Karnataka, 31-03-2016, M, 4.61, 8074999.00, 41.00
Karnataka, 30-04-2016, M, 8.61, 7982108.00, 42.19
Karnataka, 31-05-2016, M, 16.03, 8650091.00, 49.63
Karnataka, 30-06-2016, M, 3.86, 8410042.00, 42.04
Karnataka, 31-07-2016, M, 4.24, 8484734.00, 42.47
Karnataka, 31-08-2016, M, 7.32, 8556139.00, 44.14
Karnataka, 30-09-2016, M, 8.83, 9223994.00, 48.25
Karnataka, 31-10-2016, M, 8.21, 8706430.00, 45.12
Karnataka, 30-11-2016, M, 6.76, 8821997.00, 44.89
Karnataka, 31-12-2016, M, 6.47, 9003023.00, 45.55
Karnataka, 31-01-2017, M, 7.88, 9267189.00, 47.49
Karnataka, 28-02-2017, M, 7.44, 8910926.00, 45.34
Karnataka, 31-03-2017, M, 3.19, 8909331.00, 43.23
Karnataka, 30-04-2017, M, 2.65, 8931373.00, 42.99
Karnataka, 31-05-2017, M, 2.21, 9075717.00, 43.37
Karnataka, 30-06-2017, M, 1.82, 8804447.00, 41.80
Karnataka, 31-07-2017, M, 1.18, 8956579.00, 42.14
Karnataka, 31-08-2017, M, 2.59, 9027680.00, 42.98
Karnataka, 30-09-2017, M, 3.42, 9255182.00, 44.33
Karnataka, 31-10-2017, M, 2.81, 8812222.00, 41.83
Karnataka, 30-11-2017, M, 0.94, 9391523.00, 43.63
Karnataka, 31-12-2017, M, 3.14, 9199690.00, 43.59
Karnataka, 31-01-2018, M, 3.12, 9450914.00, 44.66
Karnataka, 28-02-2018, M, 4.80, 8911568.00, 42.75
Karnataka, 31-03-2018, M, 4.47, 9249701.00, 44.11
Karnataka, 30-04-2018, M, 4.32, 8769784.00, 41.65
Karnataka, 31-05-2018, M, 2.84, 9384231.00, 43.77
Karnataka, 30-06-2018, M, 4.21, 9285921.00, 43.82
Karnataka, 31-07-2018, M, 1.59, 9300544.00, 42.61
Karnataka, 31-08-2018, M, 2.78, 8829878.00, 40.84
Karnataka, 30-09-2018, M, 2.52, 9041955.00, 41.60
Karnataka, 31-10-2018, M, 2.80, 9182933.00, 42.26
Karnataka, 30-11-2018, M, 1.55, 8855637.00, 40.14
Karnataka, 31-12-2018, M, 2.07, 8591058.00, 39.04
Karnataka, 31-01-2019, M, 2.32, 8737245.00, 39.70
Karnataka, 28-02-2019, M, 2.33, 8998816.00, 40.80
Karnataka, 31-03-2019, M, 1.86, 8827839.00, 39.73
Karnataka, 30-04-2019, M, 0.97, 8464653.00, 37.66
Karnataka, 31-05-2019, M, 6.56, 8638243.00, 40.62
Karnataka, 30-06-2019, M, 5.00, 8862498.00, 40.89
Karnataka, 31-07-2019, M, 2.29, 8738033.00, 39.09
Karnataka, 31-08-2019, M, 1.27, 8614338.00, 38.04
Karnataka, 30-09-2019, M, 3.56, 8646917.00, 38.99
Karnataka, 31-10-2019, M, 3.87, 8799252.00, 39.70
Karnataka, 30-11-2019, M, 3.44, 8613837.00, 38.60
Karnataka, 31-12-2019, M, 1.56, 8592376.00, 37.66
Karnataka, 31-01-2020, M, 3.31, 8749154.00, 38.94
Karnataka, 29-02-2020, M, 2.88, 8924061.00, 39.45
Karnataka, 31-03-2020, M, 4.92, 9225835.00, 41.55
Karnataka, 30-04-2020, M, 25.12, 7387995.00, 42.14
Karnataka, 31-05-2020, M, 14.90, 8771524.00, 43.90
Karnataka, 30-06-2020, M, 3.75, 8818844.00, 38.93
Karnataka, 31-07-2020, M, 3.06, 8928134.00, 39.03
Karnataka, 31-08-2020, M, 1.24, 9645425.00, 41.28
Karnataka, 30-09-2020, M, 2.02, 8467104.00, 36.43
Karnataka, 31-10-2020, M, 2.30, 8627263.00, 37.13
Karnataka, 30-11-2020, M, 1.45, 8581514.00, 36.52
Karnataka, 31-12-2020, M, 1.79, 8914962.00, 37.97
Karnataka, 31-01-2021, M, 2.44, 8708864.00, 37.24
Karnataka, 28-02-2021, M, 2.45, 8508768.00, 36.30
Karnataka, 31-03-2021, M, 1.43, 8435857.00, 35.52
Karnataka, 30-04-2021, M, 2.18, 8713802.00, 36.88
Karnataka, 31-05-2021, M, 6.90, 8698973.00, 38.58
Karnataka, 30-06-2021, M, 10.43, 7840758.00, 36.06
Karnataka, 31-07-2021, M, 1.61, 8547933.00, 35.69
Karnataka, 31-08-2021, M, 2.52, 8782131.00, 36.91
Karnataka, 30-09-2021, M, 2.12, 9022579.00, 37.67
Karnataka, 31-10-2021, M, 2.96, 8623352.00, 36.22
Karnataka, 30-11-2021, M, 3.19, 8460716.00, 35.53
Karnataka, 31-12-2021, M, 1.50, 9023164.00, 37.14
Karnataka, 31-01-2022, M, 1.87, 8986826.00, 37.03
Karnataka, 28-02-2022, M, 2.43, 8805601.00, 36.41
Karnataka, 31-03-2022, M, 2.15, 8526308.00, 35.06
Karnataka, 30-04-2022, M, 4.35, 8938425.00, 37.50
Karnataka, 31-05-2022, M, 2.84, 8764116.00, 36.10
Karnataka, 30-06-2022, M, 4.19, 8877225.00, 36.99
Karnataka, 31-07-2022, M, 3.44, 8458362.00, 34.88
Karnataka, 31-08-2022, M, 3.08, 8919123.00, 36.54
Karnataka, 30-09-2022, M, 3.82, 8870186.00, 36.53
Karnataka, 31-10-2022, M, 3.66, 8845424.00, 36.27
Karnataka, 30-11-2022, M, 2.26, 8513182.00, 34.32
Karnataka, 31-12-2022, M, 3.41, 9039534.00, 36.78
Karnataka, 31-01-2023, M, 3.75, 9079076.00, 36.97
Karnataka, 28-02-2023, M, 3.39, 9207367.00, 37.26
Kerala, 31-01-2016, M, 15.87, 4888240.00, 45.04
Kerala, 29-02-2016, M, 23.35, 4760676.00, 48.10
Kerala, 31-03-2016, M, 18.61, 4527660.00, 43.04
Kerala, 30-04-2016, M, 19.55, 4564511.00, 43.86
Kerala, 31-05-2016, M, 10.53, 4645285.00, 40.09
Kerala, 30-06-2016, M, 14.50, 4597681.00, 41.49
Kerala, 31-07-2016, M, 14.49, 4732148.00, 42.66
Kerala, 31-08-2016, M, 13.32, 4542608.00, 40.36
Kerala, 30-09-2016, M, 6.18, 4720787.00, 38.71
Kerala, 31-10-2016, M, 9.36, 4884629.00, 41.42
Kerala, 30-11-2016, M, 16.27, 4683474.00, 42.96
Kerala, 31-12-2016, M, 17.45, 4305731.00, 40.02
Kerala, 31-01-2017, M, 12.30, 4658405.00, 40.72
Kerala, 28-02-2017, M, 12.85, 4767930.00, 41.90
Kerala, 31-03-2017, M, 12.66, 4902204.00, 42.95
Kerala, 30-04-2017, M, 8.95, 4271724.00, 35.87
Kerala, 31-05-2017, M, 4.98, 4564535.00, 36.69
Kerala, 30-06-2017, M, 9.44, 4616196.00, 38.90
Kerala, 31-07-2017, M, 8.02, 4561848.00, 37.81
Kerala, 31-08-2017, M, 8.03, 4314548.00, 35.73
Kerala, 30-09-2017, M, 3.07, 4613752.00, 36.22
Kerala, 31-10-2017, M, 9.02, 4592223.00, 38.38
Kerala, 30-11-2017, M, 10.26, 4112529.00, 34.81
Kerala, 31-12-2017, M, 8.68, 4642553.00, 38.58
Kerala, 31-01-2018, M, 7.23, 4642277.00, 37.94
Kerala, 28-02-2018, M, 9.24, 4712877.00, 39.34
Kerala, 31-03-2018, M, 8.13, 4435060.00, 36.54
Kerala, 30-04-2018, M, 7.47, 4687771.00, 38.31
Kerala, 31-05-2018, M, 6.45, 4583604.00, 37.01
Kerala, 30-06-2018, M, 8.78, 4602390.00, 38.08
Kerala, 31-07-2018, M, 5.93, 4593169.00, 36.82
Kerala, 31-08-2018, M, 5.29, 4206903.00, 33.46
Kerala, 30-09-2018, M, 4.92, 4520044.00, 35.78
Kerala, 31-10-2018, M, 5.95, 4632310.00, 37.04
Kerala, 30-11-2018, M, 5.60, 4178583.00, 33.25
Kerala, 31-12-2018, M, 7.07, 4449677.00, 35.94
Kerala, 31-01-2019, M, 6.37, 4637547.00, 37.14
Kerala, 28-02-2019, M, 5.94, 4687644.00, 37.34
Kerala, 31-03-2019, M, 6.34, 4150624.00, 33.17
Kerala, 30-04-2019, M, 7.41, 4506415.00, 36.40
Kerala, 31-05-2019, M, 6.11, 4605912.00, 36.65
Kerala, 30-06-2019, M, 6.67, 4678372.00, 37.42
Kerala, 31-07-2019, M, 7.58, 4105212.00, 33.13
Kerala, 31-08-2019, M, 7.69, 4448650.00, 35.91
Kerala, 30-09-2019, M, 5.52, 4640640.00, 36.57
Kerala, 31-10-2019, M, 5.35, 4644511.00, 36.49
Kerala, 30-11-2019, M, 6.71, 4062767.00, 32.36
Kerala, 31-12-2019, M, 7.31, 4440284.00, 35.56
Kerala, 31-01-2020, M, 6.65, 4597507.00, 36.53
Kerala, 29-02-2020, M, 6.08, 4624444.00, 36.48
Kerala, 31-03-2020, M, 9.14, 4079775.00, 33.24
Kerala, 30-04-2020, M, 21.43, 2179106.00, 20.51
Kerala, 31-05-2020, M, 21.54, 3331934.00, 31.38
Kerala, 30-06-2020, M, 9.01, 4282803.00, 34.75
Kerala, 31-07-2020, M, 4.20, 4326107.00, 33.31
Kerala, 31-08-2020, M, 5.97, 4182798.00, 32.78
Kerala, 30-09-2020, M, 5.03, 4150948.00, 32.18
Kerala, 31-10-2020, M, 4.23, 4234143.00, 32.52
Kerala, 30-11-2020, M, 4.55, 3796322.00, 29.23
Kerala, 31-12-2020, M, 6.51, 4567893.00, 35.87
Kerala, 31-01-2021, M, 5.53, 4136604.00, 32.12
Kerala, 28-02-2021, M, 4.16, 4370149.00, 33.42
Kerala, 31-03-2021, M, 4.97, 3915163.00, 30.17
Kerala, 30-04-2021, M, 6.39, 4523245.00, 35.34
Kerala, 31-05-2021, M, 25.51, 3348144.00, 32.85
Kerala, 30-06-2021, M, 18.46, 3831825.00, 34.31
Kerala, 31-07-2021, M, 6.45, 3854226.00, 30.05
Kerala, 31-08-2021, M, 7.24, 4548519.00, 35.73
Kerala, 30-09-2021, M, 6.58, 4097102.00, 31.93
Kerala, 31-10-2021, M, 4.49, 4454254.00, 33.92
Kerala, 30-11-2021, M, 6.00, 3938608.00, 30.45
Kerala, 31-12-2021, M, 6.57, 4674675.00, 36.33
Kerala, 31-01-2022, M, 5.55, 4259261.00, 32.71
Kerala, 28-02-2022, M, 4.00, 4467444.00, 33.73
Kerala, 31-03-2022, M, 5.41, 4015668.00, 30.74
Kerala, 30-04-2022, M, 6.58, 4680372.00, 36.24
Kerala, 31-05-2022, M, 5.33, 4388364.00, 33.50
Kerala, 30-06-2022, M, 4.08, 4496416.00, 33.85
Kerala, 31-07-2022, M, 5.12, 3959489.00, 30.10
Kerala, 31-08-2022, M, 6.33, 4714704.00, 36.28
Kerala, 30-09-2022, M, 5.18, 4450897.00, 33.80
Kerala, 31-10-2022, M, 3.61, 4546156.00, 33.93
Kerala, 30-11-2022, M, 6.35, 4004624.00, 30.73
Kerala, 31-12-2022, M, 6.59, 4698535.00, 36.12
Kerala, 31-01-2023, M, 5.45, 4518483.00, 34.28
Kerala, 28-02-2023, M, 3.44, 4696690.00, 34.86
Madhya Pradesh, 31-01-2016, M, 7.20, 7141267.00, 47.08
Madhya Pradesh, 29-02-2016, M, 4.41, 6747301.00, 43.09
Madhya Pradesh, 31-03-2016, M, 13.78, 6523299.00, 46.08
Madhya Pradesh, 30-04-2016, M, 10.75, 5710064.00, 38.88
Madhya Pradesh, 31-05-2016, M, 9.89, 7267552.00, 48.90
Madhya Pradesh, 30-06-2016, M, 3.44, 6530223.00, 40.92
Madhya Pradesh, 31-07-2016, M, 14.21, 6517605.00, 45.86
Madhya Pradesh, 31-08-2016, M, 13.99, 5739406.00, 40.19
Madhya Pradesh, 30-09-2016, M, 6.97, 7259488.00, 46.89
Madhya Pradesh, 31-10-2016, M, 4.10, 6718241.00, 42.00
Madhya Pradesh, 30-11-2016, M, 11.54, 6618959.00, 44.76
Madhya Pradesh, 31-12-2016, M, 7.76, 6378749.00, 41.28
Madhya Pradesh, 31-01-2017, M, 6.12, 7105765.00, 45.07
Madhya Pradesh, 28-02-2017, M, 1.80, 7086514.00, 42.89
Madhya Pradesh, 31-03-2017, M, 10.55, 6486499.00, 42.99
Madhya Pradesh, 30-04-2017, M, 3.71, 6623150.00, 40.69
Madhya Pradesh, 31-05-2017, M, 3.32, 7158391.00, 43.70
Madhya Pradesh, 30-06-2017, M, 1.07, 7054376.00, 42.00
Madhya Pradesh, 31-07-2017, M, 1.94, 6974931.00, 41.80
Madhya Pradesh, 31-08-2017, M, 2.93, 6551028.00, 39.57
Madhya Pradesh, 30-09-2017, M, 2.33, 6728852.00, 40.30
Madhya Pradesh, 31-10-2017, M, 4.85, 6801601.00, 41.72
Madhya Pradesh, 30-11-2017, M, 6.64, 6233124.00, 38.88
Madhya Pradesh, 31-12-2017, M, 5.18, 6840881.00, 41.92
Madhya Pradesh, 31-01-2018, M, 5.18, 6617510.00, 40.46
Madhya Pradesh, 28-02-2018, M, 4.53, 6604924.00, 40.02
Madhya Pradesh, 31-03-2018, M, 6.82, 6318511.00, 39.14
Madhya Pradesh, 30-04-2018, M, 4.18, 6693552.00, 40.23
Madhya Pradesh, 31-05-2018, M, 3.04, 6432752.00, 38.12
Madhya Pradesh, 30-06-2018, M, 3.96, 6491400.00, 38.75
Madhya Pradesh, 31-07-2018, M, 5.66, 6631981.00, 40.21
Madhya Pradesh, 31-08-2018, M, 5.73, 6745794.00, 40.84
Madhya Pradesh, 30-09-2018, M, 3.59, 6498675.00, 38.38
Madhya Pradesh, 31-10-2018, M, 7.25, 6295137.00, 38.56
Madhya Pradesh, 30-11-2018, M, 7.80, 6486107.00, 39.88
Madhya Pradesh, 31-12-2018, M, 6.98, 6601336.00, 40.14
Madhya Pradesh, 31-01-2019, M, 4.94, 6661850.00, 39.55
Madhya Pradesh, 28-02-2019, M, 6.81, 6308678.00, 38.12
Madhya Pradesh, 31-03-2019, M, 8.57, 6357913.00, 39.07
Madhya Pradesh, 30-04-2019, M, 6.88, 6654342.00, 40.06
